evensToTwenty;;;;;;
;cont;cont <= numerosPares;cont % 2 == 0;recebeNumerosPares;i++;return
;1;true;1 % 2 == 1: false;" - ";1 + 1 = 2;-
;2;true;2 % 2 == 0: true;" 2";2 + 1 = 3;-
;3;true;3 % 2 == 1: false;" -";3 + 1 = 4;-
;4;true;4 % 2 == 0: true;" 4";4 + 1 = 5;-
;5;true;5 % 2 == 1: false;" -";5 + 1 = 6;-
;6;true;6 % 2 == 0: true;" 6";6 + 1 = 7;-
;7;true;7 % 2 == 1: false;" -";7 + 1 = 8;-
;8;true;8 % 2 == 0: true;" 8";8 + 1 = 9;-
;9;true;9 % 2 == 1: false;" - ";9 + 1 = 10;-
;10;true;10 % 2 == 0: true;" 10";10 + 1 = 11;-
;11;true;11 % 2 == 1: false;" - ";11 + 1 = 12;-
;12;true;12 % 2 == 0: true;" 12";12 + 1 = 13;-
;13;true;13 % 2 == 1: false;" -";13 + 1 = 14;-
;14;true;14 % 2 == 0: true;" 14";14 + 1 = 15;-
;15;true;15 % 2 == 1: false;" -";15 + 1 = 16;-
;16;true;16 % 2 == 0: true;" 16";16 + 1 = 17;-
;17;true;17 % 2 == 1: false;" -";17 + 1 = 18;-
;18;true;18 % 2 == 0: true;" 18";18 + 1 = 19;-
;19;true;19 % 2 == 1: false;" -";19 + 1 = 20;-
;20;true;20 % 2 == 0: true;" 20";20 + 1 = 21;-
;21;false;" - ";" -";-;[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]
;;;;;;
;;console.log(evensToTwenty(20));;;;
;;[2, 4, 6, 8, 10, 12, 14, 16, 18, 20];;;;